route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
6,2025_08_11-DX-MVS-Weekday-003,1771608,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_08_11-DX-MVS-Weekday-003,1771660,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_08_11-DX-MVS-Weekday-003,1771609,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_08_11-DX-MVS-Weekday-003,1771661,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_08_11-DX-MVS-Weekday-003,1771610,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_08_11-DX-MVS-Weekday-003,1771662,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_08_11-DX-MVS-Weekday-003,1771611,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_08_11-DX-MVS-Weekday-003,1771663,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_08_11-DX-MVS-Weekday-003,1771612,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_08_11-DX-MVS-Weekday-003,1771664,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_08_11-DX-MVS-Weekday-003,1771613,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_08_11-DX-MVS-Weekday-003,1771665,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_08_11-DX-MVS-Weekday-003,1771614,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_08_11-DX-MVS-Weekday-003,1771666,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_08_11-DX-MVS-Weekday-003,1771615,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_08_11-DX-MVS-Weekday-003,1771667,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_08_11-DX-MVS-Weekday-003,1771616,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
6,2025_08_11-DX-MVS-Weekday-003,1771617,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
